,Company,Address,SIC2,Latitude,Longitude,NeighborSIC52,NeighborSIC53,NeighborSIC54,NeighborSIC55,NeighborSIC56,NeighborSIC57,NeighborSIC58,NeighborSIC59,NeighborSIC60,NeighborSIC61,NeighborSIC62,NeighborSIC63,NeighborSIC64,NeighborSIC65,NeighborSIC66,NeighborSIC67,NeighborSIC68,NeighborSIC69,NeighborSIC70,NeighborSIC71,NeighborSIC72,NeighborSIC73,NeighborSIC74,NeighborSIC75,NeighborSIC76,NeighborSIC77,NeighborSIC78,NeighborSIC79,NeighborSIC80,NeighborSIC81,NeighborSIC82,NeighborSIC83,NeighborSIC84
3419,SHANA LANDA SALE,110 E 9TH ST STE A988,58,34.0412,118.2548,2.0,15.0,11.0,5.0,261.0,12.0,24.0,74.0,9.0,6.0,6.0,1.0,3.0,13.0,,11.0,,,,,24.0,149.0,,4.0,2.0,,5.0,7.0,8.0,3.0,3.0,3.0,3.0
3430,VITO DI DONATO,846 N LA CIENEGA BLVD,58,34.0861,118.3763,,,,,,,6.0,1.0,,,,,,1.0,,1.0,,,,,2.0,4.0,,,,,,3.0,,,,,
3438,SHOCKWAVE CAFE,208 S HILL ST,58,34.0528,118.2478,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,RED ROCK BAR & CAFE INC,8782 W SUNSET BLVD,58,34.091,118.3825,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
3495,GROUNDWORK COFFEE,108 W 2ND ST,58,34.051,118.2449,1.0,,1.0,,2.0,,7.0,1.0,,1.0,,,,3.0,,1.0,,,,,2.0,28.0,,1.0,2.0,,3.0,4.0,1.0,,1.0,,
3524,TACO EL CONQUISTADOR,1105 E 34TH ST,58,34.0087,118.2589,7.0,10.0,38.0,20.0,27.0,37.0,31.0,71.0,1.0,1.0,2.0,,2.0,19.0,,2.0,,,3.0,,59.0,125.0,,33.0,21.0,,6.0,13.0,13.0,5.0,7.0,21.0,
3558,TACOS LA NENA,4427 AVALON BLVD,58,34.0029,118.2654,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3560,BOONKRONG SOMCHAI,2912 1/2 ROWENA AVE,58,34.1083,118.2682,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3564,TAMALES ALBERTO,1644 W TEMPLE ST,58,34.0683,118.2625,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,TAQUERIA AMECA,747 S ATLANTIC BLVD,58,34.0264,118.1532,2.0,7.0,26.0,28.0,35.0,26.0,45.0,54.0,3.0,3.0,1.0,1.0,7.0,30.0,,2.0,,,2.0,,44.0,138.0,,39.0,40.0,,3.0,6.0,33.0,6.0,8.0,17.0,
3566,TAQUERIA JALISCO NO 2,722 N WESTERN AVE,58,34.0837,118.3089,,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
3567,TAQUERIA LOS COMPAS,2718 W 7TH ST,58,34.0593,118.2836,,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
3568,TAQUERIA TEPEQUE,4030 S BROADWAY,58,34.0103,118.2781,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,TERASCOS,3801 S MAIN ST,58,34.0129,118.2741,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3609,TRIMANA RESTAURANT GROUP,5035 W SLAUSON AVE,58,33.9877,118.3656,,,,,,,1.0,1.0,1.0,2.0,,,,2.0,,,,,,,2.0,,,,1.0,,,1.0,,,,,
3651,VIA ITALIA PIZZA,1713 E VERNON AVE STE 115,58,34.004,118.2427,,1.0,4.0,,2.0,,8.0,1.0,2.0,,,1.0,,,,,,,,,3.0,,,,1.0,,,,2.0,,,1.0,
3710,YANUSA,2740 W OLYMPIC BLVD,58,34.0525,118.29299999999999,,,3.0,,1.0,,8.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
3737,MEX CATER SERVICE,717 E 137TH ST,58,33.9074,118.26299999999999,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
3788,TAQUERIA CHIHUAHUA,12034 VENICE BLVD,58,34.0057,118.4292,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
3814,HEYAT HALEH,10845 LINDBROOK DR,58,34.0602,118.4427,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,2.0,,,1.0,,2.0,1.0,6.0,,2.0,1.0,
3819,AMIGOS TACOS & MARISCOS,8325 S MAIN ST,58,33.965,118.274,5.0,2.0,43.0,28.0,26.0,40.0,28.0,55.0,1.0,1.0,2.0,,2.0,14.0,,5.0,,,7.0,,64.0,105.0,,63.0,35.0,,5.0,7.0,14.0,5.0,9.0,33.0,
3895,LA POBLANITA FOOD MARKET,2039 MAPLE AVE,58,34.0276,118.2628,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3918,OCEAN JEWELS SEAFOOD INC,556 TOWNE AVE,58,34.0419,118.2427,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
3949,BAJA FRESH,7917 W SUNSET BLVD,58,34.0981,118.3619,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
4021,KEN CATER SERVICE,11401 S CENTRAL AVE,58,33.9308,118.2544,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4051,BURGER KING-12312,304 W CENTURY BLVD,58,33.9454,118.2786,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
4067,CAFE STELLA,3932 W SUNSET BLVD,58,34.0921,118.2802,,,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,2.0,,2.0,,,,
4103,POLKA LTDCO,4112 VERDUGO RD,58,34.1253,118.2316,,,1.0,,,,5.0,,,,,,,,,,,,,,3.0,,,,,,1.0,,2.0,,,1.0,
4122,CHICHENITZA RESTAURANT,3655 S GRAND AVE STE C6,58,34.0177,118.2778,,,3.0,,1.0,,8.0,4.0,,,,1.0,,2.0,,,,,,,3.0,2.0,,,1.0,,,,3.0,,,9.0,
4123,CHINESE EXPRESS RESTAURANT,2625 W 6TH ST,58,34.0622,118.2806,,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
4173,EL MESON,2454 W PICO BLVD,58,34.0471,118.2905,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
4184,CUBAN GRILL,3950 WILSHIRE BLVD,58,34.0616,118.3129,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
