Geo ID,Geographic Area Name, Total population,Median age,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 29 years,Percent 30 to 34 years,Percent 35 to 39 years,Percent 40 to 44 years,Percent 45 to 49 years,Percent 50 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 69 years,Percent 70 to 74 years,Percent 75 to 79 years,Percent 80 to 84 years,Percent 85 years and over
8600000US92392,92392,58393,30.9,5303,4880,4725,3849,4790,4481,3703,3545,3070,4288,2938,2723,1564,1292,1002,615,618,8.6,9.1,8.4,8.1,6.6,8.2,7.7,6.3,6.1,5.3,7.3,5,4.7,2.7,2.2,1.7,1.1,1.1
8600000US92394,92394,34915,30.3,2998,2895,2317,2097,3384,2956,2718,2439,1985,2051,2088,1065,810,791,254,253,163,10.5,8.6,8.3,6.6,6,9.7,8.5,7.8,7,5.7,5.9,6,3.1,2.3,2.3,0.7,0.7,0.5
8600000US92395,92395,43908,33.6,3526,4046,3552,2739,3291,2391,2618,2480,2145,3360,2128,2256,2043,1476,1124,968,745,6.9,8,9.2,8.1,6.2,7.5,5.4,6,5.6,4.9,7.7,4.8,5.1,4.7,3.4,2.6,2.2,1.7
8600000US92397,92397,4562,40.9,395,321,198,95,313,229,306,194,330,180,260,401,494,149,173,103,84,7.4,8.7,7,4.3,2.1,6.9,5,6.7,4.3,7.2,3.9,5.7,8.8,10.8,3.3,3.8,2.3,1.8
8600000US92398,92398,2195,32.8,123,199,219,0,224,175,342,64,77,164,163,52,146,32,0,0,44,7.8,5.6,9.1,10,0,10.2,8,15.6,2.9,3.5,7.5,7.4,2.4,6.7,1.5,0,0,2
8600000US92399,92399,54268,36.8,4079,3665,3356,3855,4112,3433,2916,3336,3628,2994,3448,3884,2720,1961,1553,803,1071,6.4,7.5,6.8,6.2,7.1,7.6,6.3,5.4,6.1,6.7,5.5,6.4,7.2,5,3.6,2.9,1.5,2
8600000US92401,92401,2257,27.4,302,130,64,304,307,93,156,85,41,157,134,81,59,113,21,28,23,7,13.4,5.8,2.8,13.5,13.6,4.1,6.9,3.8,1.8,7,5.9,3.6,2.6,5,0.9,1.2,1
8600000US92404,92404,62915,29.4,5180,4979,5209,5491,5582,4468,4329,3709,3535,3004,3494,2699,1710,1466,872,645,890,9,8.2,7.9,8.3,8.7,8.9,7.1,6.9,5.9,5.6,4.8,5.6,4.3,2.7,2.3,1.4,1,1.4
8600000US92405,92405,30112,29.6,2901,3060,2482,2113,2077,2254,2099,1685,1868,1664,1968,947,967,683,408,182,172,8.6,9.6,10.2,8.2,7,6.9,7.5,7,5.6,6.2,5.5,6.5,3.1,3.2,2.3,1.4,0.6,0.6
8600000US92407,92407,68545,29,5466,5845,5780,7255,5566,5106,5111,4254,3890,3836,3613,2691,2170,1034,778,361,399,7.9,8,8.5,8.4,10.6,8.1,7.4,7.5,6.2,5.7,5.6,5.3,3.9,3.2,1.5,1.1,0.5,0.6
8600000US92408,92408,13635,33.1,1045,851,747,1189,1342,1000,968,890,719,789,914,688,552,323,315,100,89,8.2,7.7,6.2,5.5,8.7,9.8,7.3,7.1,6.5,5.3,5.8,6.7,5,4,2.4,2.3,0.7,0.7
8600000US92410,92410,45052,28,4813,4376,3875,3613,4052,3506,2744,2667,2137,2287,2538,1572,1231,859,468,551,336,7.6,10.7,9.7,8.6,8,9,7.8,6.1,5.9,4.7,5.1,5.6,3.5,2.7,1.9,1,1.2,0.7
8600000US92411,92411,25650,28.8,2216,2294,2126,2003,2173,1633,1440,1606,1524,1386,1133,951,818,775,444,304,443,9.3,8.6,8.9,8.3,7.8,8.5,6.4,5.6,6.3,5.9,5.4,4.4,3.7,3.2,3,1.7,1.2,1.7
8600000US92501,92501,21590,32.9,1351,1665,1723,1628,2224,1858,1869,1152,1425,1322,1266,935,689,671,196,302,182,5.2,6.3,7.7,8,7.5,10.3,8.6,8.7,5.3,6.6,6.1,5.9,4.3,3.2,3.1,0.9,1.4,0.8
8600000US92503,92503,95551,33.6,6807,7760,6908,6821,7976,7004,6857,6093,6544,6248,5640,4541,3424,2646,1766,1197,887,6.7,7.1,8.1,7.2,7.1,8.3,7.3,7.2,6.4,6.8,6.5,5.9,4.8,3.6,2.8,1.8,1.3,0.9
8600000US92504,92504,59896,33.2,3693,4424,5263,5437,4745,4074,3824,3416,3671,3693,3407,3171,2077,2064,1323,858,1095,6.1,6.2,7.4,8.8,9.1,7.9,6.8,6.4,5.7,6.1,6.2,5.7,5.3,3.5,3.4,2.2,1.4,1.8
8600000US92505,92505,53282,31.6,3945,3775,4356,5037,5144,4243,3182,3804,3287,3193,2742,2312,1773,1147,783,741,714,5.8,7.4,7.1,8.2,9.5,9.7,8,6,7.1,6.2,6,5.1,4.3,3.3,2.2,1.5,1.4,1.3
8600000US92506,92506,46241,38.7,2924,2820,2841,2480,3642,3308,2730,2588,2986,3303,2895,2970,2871,1888,1363,837,879,6.3,6.3,6.1,6.1,5.4,7.9,7.2,5.9,5.6,6.5,7.1,6.3,6.4,6.2,4.1,2.9,1.8,1.9
8600000US92507,92507,59152,26.4,2804,2597,7962,10146,6944,4956,3076,2692,2120,2750,2485,2282,1506,1155,629,605,544,6.6,4.7,4.4,13.5,17.2,11.7,8.4,5.2,4.6,3.6,4.6,4.2,3.9,2.5,2,1.1,1,0.9
8600000US92508,92508,38428,34.2,2368,3526,3518,2896,2865,2411,2374,2732,3414,2477,2432,1637,1170,919,449,496,619,5.5,6.2,9.2,9.2,7.5,7.5,6.3,6.2,7.1,8.9,6.4,6.3,4.3,3,2.4,1.2,1.3,1.6
8600000US92509,92509,81383,31.2,6551,6361,6779,6987,6664,5866,5383,4982,4964,5276,4102,3908,2470,1994,1131,871,965,7.5,8,7.8,8.3,8.6,8.2,7.2,6.6,6.1,6.1,6.5,5,4.8,3,2.5,1.4,1.1,1.2
8600000US92518,92518,1021,43.4,50,93,43,23,17,50,87,35,41,16,8,19,41,38,54,76,214,11.4,4.9,9.1,4.2,2.3,1.7,4.9,8.5,3.4,4,1.6,0.8,1.9,4,3.7,5.3,7.4,21
8600000US92530,92530,58184,31,4882,4679,4615,4029,4709,4614,3820,3400,3788,3416,3470,2676,1747,1292,814,525,534,8.9,8.4,8,7.9,6.9,8.1,7.9,6.6,5.8,6.5,5.9,6,4.6,3,2.2,1.4,0.9,0.9
8600000US92532,92532,25923,32,2709,1707,1970,1600,1661,2152,2534,2074,1354,1358,1569,879,617,338,453,263,49,10.2,10.5,6.6,7.6,6.2,6.4,8.3,9.8,8,5.2,5.2,6.1,3.4,2.4,1.3,1.7,1,0.2
8600000US92536,92536,3076,43.6,306,194,163,100,115,296,95,185,221,70,402,137,181,248,131,65,10,5.1,9.9,6.3,5.3,3.3,3.7,9.6,3.1,6,7.2,2.3,13.1,4.5,5.9,8.1,4.3,2.1,0.3
