Geo ID,Geographic Area Name,Median gross rent
8600000US94134,94134,1587
8600000US94158,94158,3035
8600000US94301,94301,2379
8600000US94303,94303,1994
8600000US94304,94304,2972
8600000US94305,94305,1618
8600000US94306,94306,2393
8600000US94401,94401,2266
8600000US94402,94402,2364
8600000US94403,94403,2665
8600000US94404,94404,3202
8600000US94501,94501,1816
8600000US94502,94502,2264
8600000US94503,94503,1830
8600000US94505,94505,2532
8600000US94506,94506,2886
8600000US94507,94507,2796
8600000US94508,94508,1666
8600000US94509,94509,1652
8600000US94510,94510,1858
8600000US94511,94511,730
8600000US94512,94512,-
8600000US94513,94513,2150
8600000US94514,94514,1313
8600000US94515,94515,1418
8600000US94516,94516,644
8600000US94517,94517,2550
8600000US94518,94518,1938
8600000US94519,94519,1826
8600000US94520,94520,1575
8600000US94521,94521,1877
8600000US94523,94523,1988
8600000US94525,94525,1337
8600000US94526,94526,2463
8600000US94528,94528,-
8600000US94530,94530,1931
8600000US94531,94531,2268
8600000US94533,94533,1403
8600000US94534,94534,2182
8600000US94535,94535,2252
8600000US94536,94536,2257
8600000US94538,94538,2314
8600000US94539,94539,2652
8600000US94541,94541,1708
8600000US94542,94542,2146
8600000US94544,94544,1810
8600000US94545,94545,1908
8600000US94546,94546,1777
8600000US94547,94547,2201
8600000US94548,94548,1629
8600000US94549,94549,2230
8600000US94550,94550,2058
8600000US94551,94551,2096
8600000US94552,94552,3073
8600000US94553,94553,1722
8600000US94555,94555,2561
8600000US94556,94556,2128
8600000US94558,94558,1765
8600000US94559,94559,1646
8600000US94560,94560,2277
8600000US94561,94561,1694
8600000US94563,94563,2813
8600000US94564,94564,1828
8600000US94565,94565,1672
8600000US94566,94566,2287
8600000US94567,94567,1600
8600000US94568,94568,2675
8600000US94569,94569,1864
8600000US94571,94571,1267
8600000US94572,94572,1406
8600000US94573,94573,-
8600000US94574,94574,1653
8600000US94575,94575,-
8600000US94576,94576,-
8600000US94577,94577,1663
8600000US94578,94578,1596
8600000US94579,94579,1797
8600000US94580,94580,1819
8600000US94582,94582,2423
8600000US94583,94583,2344
8600000US94585,94585,1714
8600000US94586,94586,1606
8600000US94587,94587,2202
8600000US94588,94588,2498
8600000US94589,94589,1642
8600000US94590,94590,1257
8600000US94591,94591,1733
8600000US94592,94592,2658
8600000US94595,94595,1872
8600000US94596,94596,2031
8600000US94597,94597,2136
8600000US94598,94598,2601
8600000US94599,94599,1790
8600000US94601,94601,1271
8600000US94602,94602,1426
