Geo ID,Geographic Area Name,Median contract rent
8600000US92404,ZCTA5 92404,906
8600000US92405,ZCTA5 92405,925
8600000US92407,ZCTA5 92407,1161
8600000US92408,ZCTA5 92408,856
8600000US92410,ZCTA5 92410,841
8600000US92411,ZCTA5 92411,929
8600000US92501,ZCTA5 92501,1016
8600000US92503,ZCTA5 92503,1195
8600000US92504,ZCTA5 92504,1176
8600000US92505,ZCTA5 92505,1370
8600000US92506,ZCTA5 92506,1264
8600000US92507,ZCTA5 92507,1172
8600000US92508,ZCTA5 92508,1829
8600000US92509,ZCTA5 92509,1169
8600000US92518,ZCTA5 92518,1494
8600000US92530,ZCTA5 92530,1173
8600000US92532,ZCTA5 92532,1647
8600000US92536,ZCTA5 92536,715
8600000US92539,ZCTA5 92539,661
8600000US92543,ZCTA5 92543,864
8600000US92544,ZCTA5 92544,998
8600000US92545,ZCTA5 92545,1131
8600000US92548,ZCTA5 92548,889
8600000US92549,ZCTA5 92549,1041
8600000US92551,ZCTA5 92551,1318
8600000US92553,ZCTA5 92553,1250
8600000US92555,ZCTA5 92555,1576
8600000US92557,ZCTA5 92557,1354
8600000US92561,ZCTA5 92561,839
8600000US92562,ZCTA5 92562,1536
8600000US92563,ZCTA5 92563,1634
8600000US92567,ZCTA5 92567,927
8600000US92570,ZCTA5 92570,1042
8600000US92571,ZCTA5 92571,1360
8600000US92582,ZCTA5 92582,1374
8600000US92583,ZCTA5 92583,971
8600000US92584,ZCTA5 92584,1720
8600000US92585,ZCTA5 92585,1485
8600000US92586,ZCTA5 92586,1014
8600000US92587,ZCTA5 92587,1542
8600000US92590,ZCTA5 92590,899
8600000US92591,ZCTA5 92591,1664
8600000US92592,ZCTA5 92592,1832
8600000US92595,ZCTA5 92595,1405
8600000US92596,ZCTA5 92596,1778
8600000US92602,ZCTA5 92602,2227
8600000US92603,ZCTA5 92603,2456
8600000US92604,ZCTA5 92604,2212
8600000US92606,ZCTA5 92606,2242
8600000US92610,ZCTA5 92610,2170
8600000US92612,ZCTA5 92612,2306
8600000US92614,ZCTA5 92614,2280
8600000US92617,ZCTA5 92617,1386
8600000US92618,ZCTA5 92618,2337
8600000US92620,ZCTA5 92620,2234
8600000US92624,ZCTA5 92624,1833
8600000US92625,ZCTA5 92625,2647
8600000US92626,ZCTA5 92626,1909
8600000US92627,ZCTA5 92627,1699
8600000US92629,ZCTA5 92629,1918
8600000US92630,ZCTA5 92630,1860
8600000US92637,ZCTA5 92637,1706
8600000US92646,ZCTA5 92646,2061
8600000US92647,ZCTA5 92647,1822
8600000US92648,ZCTA5 92648,1787
8600000US92649,ZCTA5 92649,1817
8600000US92651,ZCTA5 92651,2243
8600000US92653,ZCTA5 92653,1978
8600000US92655,ZCTA5 92655,1301
8600000US92656,ZCTA5 92656,2098
8600000US92657,ZCTA5 92657,2548
8600000US92660,ZCTA5 92660,2343
8600000US92661,ZCTA5 92661,1922
8600000US92662,ZCTA5 92662,2000
8600000US92663,ZCTA5 92663,1856
8600000US92672,ZCTA5 92672,1785
8600000US92673,ZCTA5 92673,2233
8600000US92675,ZCTA5 92675,1848
8600000US92676,ZCTA5 92676,2066
8600000US92677,ZCTA5 92677,2148
8600000US92678,ZCTA5 92678,1875
8600000US92679,ZCTA5 92679,2282
8600000US92683,ZCTA5 92683,1488
8600000US92688,ZCTA5 92688,1927
8600000US92691,ZCTA5 92691,2035
8600000US92692,ZCTA5 92692,2091
8600000US92694,ZCTA5 92694,2324
8600000US92701,ZCTA5 92701,1240
8600000US92703,ZCTA5 92703,1454
8600000US92704,ZCTA5 92704,1612
8600000US92705,ZCTA5 92705,1656
8600000US92706,ZCTA5 92706,1381
8600000US92707,ZCTA5 92707,1609
8600000US92708,ZCTA5 92708,1899
8600000US92780,ZCTA5 92780,1642
8600000US92782,ZCTA5 92782,2277
8600000US92801,ZCTA5 92801,1442
8600000US92802,ZCTA5 92802,1372
8600000US92804,ZCTA5 92804,1462
8600000US92805,ZCTA5 92805,1394
8600000US92806,ZCTA5 92806,1681
8600000US92807,ZCTA5 92807,1958
8600000US92808,ZCTA5 92808,2104
8600000US92821,ZCTA5 92821,1727
8600000US92823,ZCTA5 92823,2896
8600000US92831,ZCTA5 92831,1530
8600000US92832,ZCTA5 92832,1463
8600000US92833,ZCTA5 92833,1605
8600000US92835,ZCTA5 92835,1681
8600000US92840,ZCTA5 92840,1569
8600000US92841,ZCTA5 92841,1425
8600000US92843,ZCTA5 92843,1420
8600000US92844,ZCTA5 92844,1516
8600000US92845,ZCTA5 92845,1928
8600000US92860,ZCTA5 92860,1681
8600000US92861,ZCTA5 92861,"3,500+"
8600000US92865,ZCTA5 92865,1762
8600000US92866,ZCTA5 92866,1564
8600000US92867,ZCTA5 92867,1673
8600000US92868,ZCTA5 92868,1751
8600000US92869,ZCTA5 92869,1739
8600000US92870,ZCTA5 92870,1682
8600000US92879,ZCTA5 92879,1469
8600000US92880,ZCTA5 92880,2067
8600000US92881,ZCTA5 92881,1449
8600000US92882,ZCTA5 92882,1459
8600000US92883,ZCTA5 92883,2157
8600000US92886,ZCTA5 92886,2098
8600000US92887,ZCTA5 92887,1846
8600000US93001,ZCTA5 93001,1364
8600000US93003,ZCTA5 93003,1649
8600000US93004,ZCTA5 93004,1647
8600000US93010,ZCTA5 93010,1767
8600000US93012,ZCTA5 93012,2019
8600000US93013,ZCTA5 93013,1875
8600000US93015,ZCTA5 93015,1307
8600000US93021,ZCTA5 93021,1920
8600000US93022,ZCTA5 93022,1407
8600000US93023,ZCTA5 93023,1499
8600000US93030,ZCTA5 93030,1368
8600000US93033,ZCTA5 93033,1438
8600000US93035,ZCTA5 93035,1892
8600000US93036,ZCTA5 93036,1592
8600000US93040,ZCTA5 93040,1045
8600000US93041,ZCTA5 93041,1563
8600000US93042,ZCTA5 93042,-
8600000US93043,ZCTA5 93043,-
8600000US93060,ZCTA5 93060,1149
8600000US93063,ZCTA5 93063,1764
8600000US93064,ZCTA5 93064,-
8600000US93065,ZCTA5 93065,1949
8600000US93066,ZCTA5 93066,1300
8600000US93067,ZCTA5 93067,3204
8600000US93101,ZCTA5 93101,1568
8600000US93103,ZCTA5 93103,1850
8600000US93105,ZCTA5 93105,1791
8600000US93108,ZCTA5 93108,2208
8600000US93109,ZCTA5 93109,1947
8600000US93110,ZCTA5 93110,1839
8600000US93111,ZCTA5 93111,2129
8600000US93117,ZCTA5 93117,1656
8600000US93201,ZCTA5 93201,605
8600000US93202,ZCTA5 93202,746
8600000US93203,ZCTA5 93203,747
8600000US93204,ZCTA5 93204,679
8600000US93205,ZCTA5 93205,564
8600000US93206,ZCTA5 93206,730
8600000US93207,ZCTA5 93207,-
8600000US93208,ZCTA5 93208,-
8600000US93210,ZCTA5 93210,702
8600000US93212,ZCTA5 93212,611
8600000US93215,ZCTA5 93215,725
8600000US93218,ZCTA5 93218,692
8600000US93219,ZCTA5 93219,602
8600000US93220,ZCTA5 93220,-
8600000US93221,ZCTA5 93221,745
8600000US93222,ZCTA5 93222,1094
8600000US93223,ZCTA5 93223,646
