id,Geographic Area Name,Total,Median income,Mean income
8600000US91801,ZCTA5 91801,20065,67107,93336
8600000US91803,ZCTA5 91803,9644,71964,95106
8600000US91901,ZCTA5 91901,6320,104205,131914
8600000US91902,ZCTA5 91902,6008,110462,122933
8600000US91905,ZCTA5 91905,585,-,59954
8600000US91906,ZCTA5 91906,1311,59491,78897
8600000US91910,ZCTA5 91910,24942,77289,94700
8600000US91911,ZCTA5 91911,24684,66319,80669
8600000US91913,ZCTA5 91913,15188,103740,129595
8600000US91914,ZCTA5 91914,4621,135584,147368
8600000US91915,ZCTA5 91915,8731,114765,129362
8600000US91916,ZCTA5 91916,666,95750,120978
8600000US91917,ZCTA5 91917,210,-,87352
8600000US91931,ZCTA5 91931,167,76023,61088
8600000US91932,ZCTA5 91932,9547,56296,70350
8600000US91934,ZCTA5 91934,209,-,47244
8600000US91935,ZCTA5 91935,2948,106705,133489
8600000US91941,ZCTA5 91941,11574,98481,125298
8600000US91942,ZCTA5 91942,16305,79318,93754
8600000US91945,ZCTA5 91945,8603,70507,80134
8600000US91948,ZCTA5 91948,37,-,N
8600000US91950,ZCTA5 91950,16963,52303,66100
8600000US91962,ZCTA5 91962,697,114464,123861
8600000US91963,ZCTA5 91963,260,-,102968
8600000US91977,ZCTA5 91977,19154,72278,87103
8600000US91978,ZCTA5 91978,3369,85676,99770
8600000US91980,ZCTA5 91980,0,-,-
8600000US92003,ZCTA5 92003,1815,100577,128467
8600000US92004,ZCTA5 92004,1136,57694,78910
8600000US92007,ZCTA5 92007,4619,151341,190311
8600000US92008,ZCTA5 92008,11307,101927,142725
8600000US92009,ZCTA5 92009,16564,160086,194616
8600000US92010,ZCTA5 92010,6235,112129,132923
8600000US92011,ZCTA5 92011,9425,140889,181657
8600000US92014,ZCTA5 92014,5751,193214,260650
8600000US92019,ZCTA5 92019,14512,94942,121644
8600000US92020,ZCTA5 92020,19256,68233,89658
8600000US92021,ZCTA5 92021,22518,64711,83910
8600000US92024,ZCTA5 92024,19821,145349,193121
8600000US92025,ZCTA5 92025,15957,62083,92797
8600000US92026,ZCTA5 92026,16948,84568,104171
8600000US92027,ZCTA5 92027,16589,72406,92656
8600000US92028,ZCTA5 92028,16297,86764,108145
8600000US92029,ZCTA5 92029,7006,109005,142481
8600000US92036,ZCTA5 92036,1203,62587,88846
8600000US92037,ZCTA5 92037,16666,157000,246838
8600000US92040,ZCTA5 92040,15245,90605,105107
8600000US92054,ZCTA5 92054,15381,72080,99190
8600000US92055,ZCTA5 92055,292,-,82137
8600000US92056,ZCTA5 92056,18995,94979,111716
8600000US92057,ZCTA5 92057,19560,86748,105836
8600000US92058,ZCTA5 92058,14037,54259,69840
8600000US92059,ZCTA5 92059,505,95988,127337
8600000US92060,ZCTA5 92060,89,-,N
8600000US92061,ZCTA5 92061,772,53571,78539
8600000US92064,ZCTA5 92064,15983,122944,151417
8600000US92065,ZCTA5 92065,11883,103743,125885
8600000US92066,ZCTA5 92066,220,90682,75480
8600000US92067,ZCTA5 92067,2683,185068,257912
8600000US92069,ZCTA5 92069,14956,75552,102244
8600000US92070,ZCTA5 92070,328,71719,102033
8600000US92071,ZCTA5 92071,19168,97455,108216
8600000US92075,ZCTA5 92075,5299,126232,188953
8600000US92078,ZCTA5 92078,17532,110831,134957
8600000US92081,ZCTA5 92081,10280,93482,103769
8600000US92082,ZCTA5 92082,5992,101429,120861
8600000US92083,ZCTA5 92083,11274,69283,83374
8600000US92084,ZCTA5 92084,14877,80068,103552
8600000US92086,ZCTA5 92086,658,57019,90675
8600000US92091,ZCTA5 92091,638,156272,182018
8600000US92101,ZCTA5 92101,24355,108161,149821
8600000US92102,ZCTA5 92102,14757,52517,69570
8600000US92103,ZCTA5 92103,18273,115920,164174
8600000US92104,ZCTA5 92104,21077,78904,102563
8600000US92105,ZCTA5 92105,21958,43779,58658
8600000US92106,ZCTA5 92106,7711,135211,196752
8600000US92107,ZCTA5 92107,13743,113839,141835
8600000US92108,ZCTA5 92108,11072,89893,106052
8600000US92109,ZCTA5 92109,21973,101056,137190
8600000US92110,ZCTA5 92110,11388,88825,117290
8600000US92111,ZCTA5 92111,17120,79777,97441
8600000US92113,ZCTA5 92113,13581,43800,54981
8600000US92114,ZCTA5 92114,18081,71122,84019
8600000US92115,ZCTA5 92115,21203,60832,86384
8600000US92116,ZCTA5 92116,16317,87050,113407
8600000US92117,ZCTA5 92117,21046,101134,117072
8600000US92118,ZCTA5 92118,8435,127656,182105
8600000US92119,ZCTA5 92119,9538,112570,131276
8600000US92120,ZCTA5 92120,11755,124819,151394
8600000US92121,ZCTA5 92121,1858,150682,179059
8600000US92122,ZCTA5 92122,19957,110257,134762
8600000US92123,ZCTA5 92123,12438,89545,111990
8600000US92124,ZCTA5 92124,11148,97500,118949
8600000US92126,ZCTA5 92126,25218,100857,116306
8600000US92127,ZCTA5 92127,15809,153642,196185
8600000US92128,ZCTA5 92128,20810,121467,141984
8600000US92129,ZCTA5 92129,18043,144712,163790
8600000US92130,ZCTA5 92130,19908,183881,225708
8600000US92131,ZCTA5 92131,11980,150983,186459
8600000US92132,ZCTA5 92132,0,-,-
8600000US92134,ZCTA5 92134,0,-,-
8600000US92135,ZCTA5 92135,0,-,-
8600000US92139,ZCTA5 92139,10350,73804,86946
8600000US92140,ZCTA5 92140,0,-,-
8600000US92145,ZCTA5 92145,563,202031,230147
8600000US92147,ZCTA5 92147,0,-,-
8600000US92154,ZCTA5 92154,22449,68973,81171
8600000US92155,ZCTA5 92155,0,-,-
8600000US92173,ZCTA5 92173,7947,48842,60760
8600000US92201,ZCTA5 92201,23607,57286,75416
8600000US92203,ZCTA5 92203,11902,83230,100760
8600000US92210,ZCTA5 92210,2657,156328,268511
8600000US92211,ZCTA5 92211,12717,85940,128473
8600000US92220,ZCTA5 92220,11919,50909,69897
8600000US92222,ZCTA5 92222,0,-,-
8600000US92223,ZCTA5 92223,16868,89011,99205
8600000US92225,ZCTA5 92225,5950,57500,72645
8600000US92227,ZCTA5 92227,7228,46170,63576
8600000US92230,ZCTA5 92230,832,55417,64410
8600000US92231,ZCTA5 92231,9033,53064,70298
8600000US92233,ZCTA5 92233,927,36994,45422
8600000US92234,ZCTA5 92234,18816,55662,84022
8600000US92236,ZCTA5 92236,15601,48791,58171
8600000US92239,ZCTA5 92239,94,32005,42988
8600000US92240,ZCTA5 92240,12734,42500,54045
8600000US92241,ZCTA5 92241,3573,45674,55184
8600000US92242,ZCTA5 92242,610,40104,52451
8600000US92243,ZCTA5 92243,13001,53019,71366
8600000US92249,ZCTA5 92249,1936,46318,56123
8600000US92250,ZCTA5 92250,2349,66675,75408
8600000US92251,ZCTA5 92251,5352,89962,101636
8600000US92252,ZCTA5 92252,3932,44541,65890
8600000US92253,ZCTA5 92253,15815,99063,142772
8600000US92254,ZCTA5 92254,2897,29987,38288
8600000US92256,ZCTA5 92256,1456,68333,87226
8600000US92257,ZCTA5 92257,491,27933,37029
8600000US92258,ZCTA5 92258,216,-,16913
8600000US92259,ZCTA5 92259,71,-,53532
8600000US92260,ZCTA5 92260,15837,69353,110034
8600000US92262,ZCTA5 92262,13458,64646,103354
8600000US92264,ZCTA5 92264,11058,79338,120928
8600000US92266,ZCTA5 92266,75,-,N
8600000US92267,ZCTA5 92267,6,-,-
8600000US92268,ZCTA5 92268,257,-,79611
